# derived by scripts/death-tail.sh — crossings-per-tick + death-tail bracket. corpus=crux. clean rows only (t771/t820 contaminated skipped). Do not hand-edit.
from_tick	to_tick	dticks	from_m1cnt	to_m1cnt	m1_crossings	m1_cross_per_tick	from_scored	to_scored	sc_cross_per_tick	corpus
752	758	6	3	3	+0	+0.000	80	83	+0.500	crux
758	767	9	3	3	+0	+0.000	83	82	-0.111	crux
767	777	10	3	3	+0	+0.000	82	81	-0.100	crux
777	786	9	3	5	+2	+0.222	81	101	+2.222	crux
786	794	8	5	3	-2	-0.250	101	97	-0.500	crux
794	796	2	3	6	+3	+1.500	97	80	-8.500	crux
796	800	4	6	8	+2	+0.500	80	77	-0.750	crux
800	807	7	8	11	+3	+0.429	77	103	+3.714	crux
807	812	5	11	11	+0	+0.000	103	87	-3.200	crux
812	825	13	11	13	+2	+0.154	87	101	+1.077	crux
825	832	7	13	17	+4	+0.571	101	101	+0.000	crux
832	842	10	17	19	+2	+0.200	101	103	+0.200	crux
842	847	5	19	20	+1	+0.200	103	101	-0.400	crux
847	857	10	20	18	-2	-0.200	101	101	+0.000	crux
857	867	10	18	21	+3	+0.300	101	106	+0.500	crux
867	875	8	21	22	+1	+0.125	106	106	+0.000	crux
875	887	12	22	23	+1	+0.083	106	107	+0.083	crux
887	898	11	23	22	-1	-0.091	107	107	+0.000	crux
898	904	6	22	23	+1	+0.167	107	110	+0.500	crux
904	909	5	23	24	+1	+0.200	110	108	-0.400	crux
909	919	10	24	23	-1	-0.100	108	107	-0.100	crux
919	929	10	23	24	+1	+0.100	107	114	+0.700	crux
929	936	7	24	20	-4	-0.571	114	108	-0.857	crux
936	965	29	20	22	+2	+0.069	108	109	+0.034	crux
965	974	9	22	21	-1	-0.111	109	111	+0.222	crux
974	997	23	21	21	+0	+0.000	111	109	-0.087	crux
997	1008	11	21	24	+3	+0.273	109	99	-0.909	crux
1008	1023	15	24	23	-1	-0.067	99	107	+0.533	crux
1023	1031	8	23	23	+0	+0.000	107	107	+0.000	crux
1031	1049	18	23	23	+0	+0.000	107	108	+0.056	crux
1049	1080	31	23	23	+0	+0.000	108	106	-0.065	crux
1080	1089	9	23	23	+0	+0.000	106	110	+0.444	crux
1089	1099	10	23	23	+0	+0.000	110	107	-0.300	crux
1099	1109	10	23	23	+0	+0.000	107	110	+0.300	crux
1109	1117	8	23	25	+2	+0.250	110	108	-0.250	crux
1117	1121	4	25	29	+4	+1.000	108	110	+0.500	crux
1121	1127	6	29	29	+0	+0.000	110	108	-0.333	crux
